User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level
4174,58.93977586209927,98.80965025422655,5450.390577516058,7.167235622316564,Highly Active,1
,,98.53219515895226,727.6016100461258,6.538239375570314,Highly_Active,5
1860,247.80305229234318,97.05295352461383,2826.5219939131794,ERROR,Highly Active,5
2294,40.0,96.89421334689396,13797.338044243397,7.367789630207228,Actve,3
2130,61.950165287154064,98.58379675916517,15679.067648456179,,Highly_Active,6
2095,96.28593768588723,94.2029097779196,10205.992256276271,8.378342673824589,Highly_Active,10
4772,47.27225670219411,95.38976001421,3208.781176562847,7.871146008904113,Seddentary,2
4092,81.73349679221296,95.98134260868015,6051.249856733786,5.224139066195455,Sedentary,1
3979,93.34033768144009,97.21894484728315,1775.0295780773379,5.468413771417153,Seddentary,1
3169,51.40996727987549,97.27278686705215,7940.021451995014,7.9544989905339145,Seddentary,8
1466,101.91493806087537,,2987.568640188662,7.541956463173237,Sedentary,9
2238,73.85294067228806,95.39944002358109,1748.1970688253557,4.830161671840198,Actve,1
1330,95.37229036722503,99.15265159443172,6155.837341884333,5.814348465914493,Highly_Active,10
2482,79.06263167243848,99.01491345546357,829.9256232943183,6.269060283034982,Sedentary,
3135,68.09020292958444,99.72973954402643,8124.135791328726,6.444869604525839,Highly_Active,5
4444,40.0,99.04772547056064,1449.2158952991972,6.392173806051382,Active,2
4171,58.2779626987928,97.78972645147674,5643.511357828403,7.848859015777246,Seddentary,10
3919,,96.05285348429064,3488.9195075738367,6.718661172525927,Seddentary,4
4735,98.05924946042926,96.02709912891096,5846.923275235294,6.621126995655419,Seddentary,9
,53.93020624079926,96.30256923405778,1976.1863916271682,5.3648491527683895,Highly_Active,5
2685,74.10500253274513,99.64606450575437,2601.3964953506083,6.751333320225251,Highly Active,9
4380,68.31010413084853,,1058.3742744802673,6.456918401449286,Actve,3
1769,81.26723472758928,96.06816145748866,10503.006242728434,5.780212383241095,Actve,
3391,76.32552029631407,98.75711035080639,508.8380975267676,4.773999479227033,Seddentary,Very High
2515,69.42479491992782,99.25495076372934,3306.1104116230244,8.41542161341735,Highly Active,1
4485,84.58662488247226,99.02468690832053,4173.373029062226,9.169583797303172,Seddentary,9
3853,64.62704386367523,99.78959923982669,1520.184386862472,6.866753232803355,Seddentary,2
3433,75.16860350791544,98.10010128415522,3400.900980332703,8.651900418719752,Sedentary,10
2215,86.5515986753003,97.47263459341158,3790.054977605134,6.844302018581762,Seddentary,1
1955,64.10446780919304,98.14712187549833,1778.200277283971,4.419708490039869,Sedentary,7
3324,69.61567440976185,100.0,7137.101989511348,6.95044108406138,Seddentary,2
2184,66.62971236762343,99.51747431286019,219.38009182240103,5.990742778206027,Sedentary,6
1459,81.78254064837381,98.18899113980399,1540.7280365213232,7.213770683599015,Highly Active,10
4385,80.24336481276285,100.0,6848.558833609922,,Sedentary,6
1021,67.2278321892843,100.0,6913.143375993267,5.7399472789626955,Active,10
3300,80.11309120817684,100.0,2157.694847331619,7.081258685871372,Highly Active,4
1747,40.0,100.0,8043.061916803896,7.791685704970522,Actve,5
3904,87.5290861186297,100.0,4441.359228168414,8.531278990913485,Sedentary,5
4632,88.4355194977685,100.0,5244.270581287012,7.978655960306142,Sedentary,6
1474,67.4042823010518,92.65567270210363,2830.668684319488,4.827592494476892,Sedentary,7
2082,64.42024701043401,98.42435020954122,29066.332093973062,4.825839792965481,Highly_Active,3
3558,74.1371473477043,95.06438018699068,9359.52274399143,7.647390482799075,Actve,4
4753,61.348923654465594,100.0,1999.1355537358013,5.923067990352865,Highly_Active,2
3047,63.6801754966651,97.37429827897157,1889.475270819287,5.024214580310577,Actve,2
4547,79.61779161635499,98.8943730316892,10415.917713817438,8.282513944117321,Seddentary,Very High
3747,87.13591831447418,97.70827610264823,3437.2858844193865,5.945492567131957,Highly_Active,
1975,79.76807351739672,100.0,671.8148538302273,8.945554951796462,Highly Active,2
2806,118.29493321826283,95.62932747772741,253.74329713318718,5.83928648563342,Active,8
1189,93.72881218824756,99.41376031907605,3740.5230471249497,5.379780644764782,Seddentary,3
4005,86.03063332431728,95.91431915983793,3749.5114146470837,6.403469797758008,Seddentary,3
3734,85.48782567979367,93.72753353750217,8589.656027873058,7.637403648126468,Highly Active,7
4005,76.30138328743868,98.37515942883158,5985.902807457921,6.93939597939567,Sedentary,8
1562,82.56980160801169,95.55137229772569,10291.389012021062,9.337518118541205,Actve,1
2899,77.96393073389999,95.0098460840355,2676.536812907478,6.757256406710402,Seddentary,6
